tconst	titleType	primaryTitle	averageRating	numVotes	startYear	runtimeMinutes	genre1	genre2	genre3
tt0021016	movie	Just Imagine	5.4	794	1930	113	Comedy	Fantasy	Musical
tt0021019	movie	Das Kabinett des Dr. Larifari	6.6	33	1930	78	Comedy	NA	NA
tt0021024	movie	Introduction to Marriage	6.4	41	1930	71	Comedy	NA	NA
tt0021025	movie	King of Jazz	6.7	1465	1930	99	Animation	Comedy	Musical
tt0021029	movie	Kismet	6	78	1930	90	Adventure	Fantasy	Musical
tt0021035	movie	Suburban Districts	6.2	10	1930	60	NA	NA	NA
tt0021039	movie	Ladies in Love	5.1	51	1930	65	Comedy	NA	NA
tt0021040	movie	Ladies of Leisure	6.7	1286	1930	99	Drama	Romance	NA
tt0021041	movie	A Lady Surrenders	6.9	36	1930	102	Drama	Romance	NA
tt0021042	movie	The Lady of Scandal	5.8	227	1930	76	Comedy	Drama	Romance
tt0021046	movie	The Land of Missing Men	5.9	56	1930	55	Western	NA	NA
tt0021048	movie	The Lash	5.3	161	1930	77	Drama	Romance	Western
tt0021055	movie	The Santa Fe Trail	5.2	23	1930	65	Action	Comedy	Drama
tt0021057	movie	Leathernecking	7	44	1930	79	Comedy	Musical	Romance
tt0021061	movie	Let's Go Native	5.8	156	1930	77	Comedy	Musical	Romance
tt0021064	movie	Thirteen Men and a Girl	6.4	30	1930	79	Drama	NA	NA
tt0021068	movie	The Song Is Ended	7.5	71	1930	102	Musical	Romance	NA
tt0021069	movie	The Life of the Party	5.3	201	1930	79	Comedy	Musical	NA
tt0021070	movie	The Light of Western Stars	5.3	166	1930	70	Action	Adventure	Drama
tt0021078	movie	Little Accident	5.3	39	1930	82	Comedy	NA	NA
tt0021082	movie	Bookkeeper Kremke	7	32	1930	67	Drama	NA	NA
tt0021092	movie	The Pay-Off	5.5	288	1930	70	Action	Crime	Drama
tt0021097	movie	Love Comes Along	6.6	54	1930	77	Drama	NA	NA
